ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
907_at	0.1454	0.01057231	-3.491814	-2.60882	-1.286725	ADA	adenosine deaminase
39598_at	0.1456	0.0106151	-3.488763	-2.61291	-1.128605	GJB1	gap junction protein beta 1
31968_at	0.1456	0.01062539	3.488032	-2.61389	1.616562		
33849_at	0.1456	0.01064078	3.486939	-2.61535	2.139865	NAMPT	nicotinamide phosphoribosyltransferase
41738_at	0.1456	0.01064894	3.486361	-2.61613	1.498236	CALD1	caldesmon 1
32244_at	0.1456	0.01064998	3.486287	-2.61623	2.101689	TOX4	TOX high mobility group box family member 4
1659_s_at	0.1456	0.01067914	3.484223	-2.619	1.239954	RHEB	Ras homolog enriched in brain
39255_at	0.1456	0.01067922	-3.484218	-2.619	-1.522502	PROC	protein C, inactivator of coagulation factors Va and VIIIa
35519_at	0.1456	0.0106837	-3.483901	-2.61943	-1.183178	TTC22	tetratricopeptide repeat domain 22
36257_at	0.1456	0.01069102	-3.483384	-2.62012	-1.335751		
40190_at	0.1458	0.01072817	-3.480767	-2.62363	-2.228254	CEP68	centrosomal protein 68
40320_at	0.1458	0.0107292	3.480694	-2.62373	2.248486	CDC14A	cell division cycle 14A
1692_s_at	0.1461	0.01076869	-3.477923	-2.62745	-1.424907	GFRA2	GDNF family receptor alpha 2
41294_at	0.1461	0.01078701	-3.476641	-2.62917	-1.537775	KRT7	keratin 7
34407_at	0.1461	0.01079755	3.475905	-2.63016	2.077601	RARRES2	retinoic acid receptor responder 2
41537_r_at	0.1461	0.0107984	-3.475845	-2.63024	-1.728129	NFIX	nuclear factor I X
35834_at	0.1464	0.01083644	-3.473194	-2.6338	-1.666445	AZGP1	alpha-2-glycoprotein 1, zinc-binding
41521_at	0.1464	0.01084555	-3.472561	-2.63465	-1.130441	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
693_g_at	0.1465	0.01086571	3.471162	-2.63652	1.622271	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
AFFX-TrpnX-5_at	0.1465	0.01087362	-3.470613	-2.63726	-1.654287		
35790_at	0.1469	0.01091903	3.467473	-2.64148	1.744262	VPS26A	VPS26, retromer complex component A
36252_at	0.1469	0.01093366	-3.466464	-2.64283	-1.117571	CTF1	cardiotrophin 1
36966_at	0.1469	0.01093779	-3.46618	-2.64322	-1.149339		
33995_at	0.1469	0.01095197	-3.465204	-2.64453	-1.22993	GUCA2A	guanylate cyclase activator 2A
32408_s_at	0.1472	0.01098303	3.463072	-2.64739	1.703034	HNRNPCL4///HNRNPCL3///HNRNPCL2///HNRNPCL1///HNRNPC	heterogeneous nuclear ribonucleoprotein C-like 4///heterogeneous nuclear ribonucleoprotein C-like 3///heterogeneous nuclear ribonucleoprotein C-like 2///heterogeneous nuclear ribonucleoprotein C-like 1///heterogeneous nuclear ribonucleoprotein C (C1/C2)
713_at	0.1474	0.01101044	-3.461195	-2.64992	-1.543189	MAX	MYC associated factor X
34074_s_at	0.1475	0.01103387	-3.459595	-2.65207	-2.129881	GNAT1	G protein subunit alpha transducin 1
33113_at	0.1475	0.01105204	3.458357	-2.65373	1.305334	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
39854_r_at	0.1475	0.01105481	-3.458168	-2.65399	-1.650567	PNPLA2	patatin like phospholipase domain containing 2
33299_at	0.1476	0.01107702	3.456658	-2.65602	2.142635	ADGRA3	adhesion G protein-coupled receptor A3
31331_at	0.1477	0.01109128	-3.45569	-2.65732	-2.460141		
38222_at	0.1483	0.011173	-3.450169	-2.66475	-1.911288	P2RY6	pyrimidinergic receptor P2Y6
38364_at	0.1483	0.01118165	3.449586	-2.66553	1.388828	TLE4	transducin like enhancer of split 4
34678_at	0.1483	0.01120354	3.448116	-2.66751	1.567328	MYOF	myoferlin
969_s_at	0.1483	0.01121772	3.447165	-2.66879	2.529358	USP9Y///USP9X	ubiquitin specific peptidase 9, Y-linked///ubiquitin specific peptidase 9, X-linked
34082_at	0.1483	0.01122398	-3.446746	-2.66935	-1.522948	SSH1	slingshot protein phosphatase 1
38285_at	0.1483	0.01122428	-3.446726	-2.66938	-2.47192	CRYM	crystallin mu
38261_at	0.1483	0.01122593	-3.446616	-2.66953	-2.842772	ABCC3	ATP binding cassette subfamily C member 3
37783_at	0.1483	0.01123427	-3.446057	-2.67028	-1.429881		
35729_at	0.1486	0.0112724	3.443511	-2.67371	1.703853	MYO1D	myosin ID
40502_r_at	0.1486	0.01128738	-3.442514	-2.67505	-2.767157	MYBPC1	myosin binding protein C, slow type
39048_at	0.1486	0.01128862	-3.442431	-2.67517	-1.440772	NOTCH4	notch 4
39672_at	0.1486	0.01130915	3.441066	-2.677	1.859338	PTPN7	protein tyrosine phosphatase, non-receptor type 7
33232_at	0.1486	0.01131301	-3.44081	-2.67735	-1.27285	CRIP1	cysteine rich protein 1
35897_r_at	0.1488	0.01134318	-3.43881	-2.68004	-1.36678	ADGRB1	adhesion G protein-coupled receptor B1
31339_at	0.1488	0.01137362	-3.436797	-2.68276	-1.607834	PI15	peptidase inhibitor 15
37044_at	0.1488	0.0113778	-3.436521	-2.68313	-1.36711	MIR7110///PDIA5	microRNA 7110///protein disulfide isomerase family A member 5
34752_at	0.1488	0.01138976	3.435733	-2.68419	1.364476	NEK7	NIMA related kinase 7
36425_at	0.1488	0.01142151	3.433643	-2.68701	1.972943	NEBL	nebulette
39704_s_at	0.1488	0.01143607	-3.432687	-2.6883	-1.549752	HMGA1	high mobility group AT-hook 1
32619_at	0.1488	0.01144217	-3.432287	-2.68884	-1.400123	FETUB	fetuin B
39199_at	0.1488	0.01145455	-3.431476	-2.68993	-1.750033	ACVR1B	activin A receptor type 1B
35684_at	0.1488	0.01146002	-3.431117	-2.69041	-1.46255	MET	MET proto-oncogene, receptor tyrosine kinase
39579_at	0.1488	0.01148692	-3.429358	-2.69278	-1.357381	CLDN10	claudin 10
405_at	0.1488	0.01151677	-3.427412	-2.69541	-1.594131	RXRA	retinoid X receptor alpha
38853_at	0.1488	0.01151974	-3.427218	-2.69567	-2.307126	ADGRG2	adhesion G protein-coupled receptor G2
39422_at	0.1488	0.01152286	3.427015	-2.69595	2.01043	LOC101930416///LOC101929792///LOC100996724///PDE4DIP	myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein
40474_r_at	0.1488	0.01153802	-3.426029	-2.69728	-1.915579	KPNA1	karyopherin subunit alpha 1
38533_s_at	0.1488	0.01153848	-3.425999	-2.69732	-1.202093	ITGAM	integrin subunit alpha M
40773_at	0.1488	0.01153869	-3.425986	-2.69733	-2.137159	MYL5	myosin light chain 5
31572_at	0.1488	0.01155168	-3.425142	-2.69847	-1.239007	S100A12	S100 calcium binding protein A12
1026_s_at	0.1488	0.01155296	-3.425059	-2.69858	-2.203013	COL11A2	collagen type XI alpha 2 chain
40484_g_at	0.1488	0.01155567	-3.424883	-2.69882	-1.344772	C1orf61	chromosome 1 open reading frame 61
36704_at	0.1493	0.01160549	3.421658	-2.70317	1.910407	AP4S1	adaptor related protein complex 4 sigma 1 subunit
2069_s_at	0.1498	0.01165771	3.418293	-2.70772	1.10332	CTNNA1	catenin alpha 1
1527_s_at	0.1501	0.01170064	3.415539	-2.71144	1.580032	N4BP2L1	NEDD4 binding protein 2 like 1
32018_at	0.1501	0.01173106	-3.413595	-2.71406	-1.492889	PARD6B	par-6 family cell polarity regulator beta
34548_at	0.1501	0.01174868	-3.412471	-2.71558	-1.654368	CYP11B1	cytochrome P450 family 11 subfamily B member 1
40989_at	0.1501	0.01174891	-3.412456	-2.7156	-2.383287		
32456_s_at	0.1501	0.01174922	-3.412436	-2.71563	-2.277089	ATP2B3	ATPase plasma membrane Ca2+ transporting 3
37686_s_at	0.1501	0.01175891	3.411819	-2.71646	1.474006	UNG	uracil DNA glycosylase
39354_at	0.1501	0.01177094	3.411053	-2.7175	1.282608	PRDX6	peroxiredoxin 6
40742_at	0.1501	0.01177755	-3.410633	-2.71806	-2.448166	HCK	HCK proto-oncogene, Src family tyrosine kinase
39970_at	0.1501	0.01179084	-3.409789	-2.7192	-2.522646	NR0B1	nuclear receptor subfamily 0 group B member 1
38958_at	0.1501	0.01179523	-3.40951	-2.71958	-2.113017	CASR	calcium sensing receptor
33628_g_at	0.1503	0.01182395	-3.40769	-2.72204	-1.284257	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
40280_at	0.1504	0.01185195	-3.40592	-2.72443	-1.263567	LRRC23	leucine rich repeat containing 23
38249_at	0.1504	0.0118542	-3.405778	-2.72463	-1.841979	VGLL1	vestigial like family member 1
AFFX-CreX-5_st	0.1505	0.01187346	-3.404563	-2.72627	-1.602069		
31620_at	0.1507	0.01191614	-3.401879	-2.7299	-2.158041	TBX10	T-box 10
37731_at	0.1507	0.01192971	3.401028	-2.73105	1.201535	EPS15	epidermal growth factor receptor pathway substrate 15
1387_at	0.1507	0.01193593	-3.400638	-2.73158	-1.392475	IL2	interleukin 2
40168_at	0.1507	0.01194832	-3.399862	-2.73263	-1.328238	CAV2	caveolin 2
37373_at	0.1507	0.01195803	3.399254	-2.73345	1.236014	UGP2	UDP-glucose pyrophosphorylase 2
41846_at	0.1507	0.01196652	-3.398724	-2.73417	-1.408043	CRX	cone-rod homeobox
307_at	0.151	0.01199922	-3.396684	-2.73693	-2.530424	ALOX5	arachidonate 5-lipoxygenase
36828_at	0.1511	0.01201806	3.395511	-2.73851	1.384624	ZNF629	zinc finger protein 629
32495_at	0.1514	0.01205952	-3.392937	-2.742	-1.701168	CLCN1	chloride voltage-gated channel 1
37201_at	0.1514	0.01207109	-3.392221	-2.74297	-1.315659	ITIH4	inter-alpha-trypsin inhibitor heavy chain family member 4
40712_at	0.1514	0.01208605	-3.391295	-2.74422	-1.259195	ADAM8	ADAM metallopeptidase domain 8
40249_at	0.1514	0.012097	-3.390619	-2.74514	-1.388292	ACHE	acetylcholinesterase (Cartwright blood group)
1945_at	0.1514	0.01210078	-3.390386	-2.74545	-2.2641	CCNB1	cyclin B1
34155_s_at	0.1516	0.01213734	-3.388132	-2.7485	-1.783471	TYR	tyrosinase
40071_at	0.1516	0.01214105	3.387904	-2.74881	2.929756	CYP1B1	cytochrome P450 family 1 subfamily B member 1
39513_r_at	0.1518	0.01216851	-3.386217	-2.7511	-2.219217	INPP4A	inositol polyphosphate-4-phosphatase type I A
40528_at	0.1518	0.0122003	-3.384269	-2.75374	-1.891905	LHX2	LIM homeobox 2
32719_at	0.1518	0.01220835	-3.383776	-2.7544	-1.315583	NRG1	neuregulin 1
37812_at	0.1518	0.01221953	-3.383093	-2.75533	-3.242635	CUX2	cut like homeobox 2
40779_at	0.1518	0.0122238	3.382833	-2.75568	1.201945	KIFAP3	kinesin associated protein 3
33022_at	0.1518	0.01223474	-3.382165	-2.75659	-1.684006	RDH16	retinol dehydrogenase 16 (all-trans)
41121_at	0.1519	0.01225239	-3.381089	-2.75804	-1.334207	STX16	syntaxin 16
34511_s_at	0.1519	0.01226122	-3.380551	-2.75877	-1.354249	SPATA31A5///SPATA31A3///SPATA31A1///SPATA31C2///SPATA31C1///SPATA31A6///SPATA31A7	SPATA31 subfamily A member 5///SPATA31 subfamily A member 3///SPATA31 subfamily A member 1///SPATA31 subfamily C member 2///SPATA31 subfamily C member 1///SPATA31 subfamily A member 6///SPATA31 subfamily A member 7
32025_at	0.1519	0.01227704	3.379589	-2.76008	1.293166	TCF7L2	transcription factor 7 like 2
38472_at	0.1521	0.01231551	3.377255	-2.76324	1.30515	EFR3A	EFR3 homolog A
37094_at	0.1521	0.01233062	-3.37634	-2.76448	-1.579632	XRCC3	X-ray repair cross complementing 3
37736_at	0.1521	0.01234039	3.375749	-2.76528	1.023906	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
182_at	0.1521	0.01234484	-3.37548	-2.76565	-1.183219	ITPR3	inositol 1,4,5-trisphosphate receptor type 3
1075_f_at	0.1521	0.01235252	-3.375017	-2.76628	-1.714414	IFNA16	interferon alpha 16
31639_f_at	0.1521	0.01236234	-3.374424	-2.76708	-1.513139	SOX1	SRY-box 1
38439_at	0.1523	0.01239561	3.37242	-2.7698	1.129032	NFE2L1	nuclear factor, erythroid 2 like 1
35525_at	0.1531	0.01246619	-3.368188	-2.77554	-2.346563	SLC17A4	solute carrier family 17 member 4
32375_at	0.1531	0.01248016	-3.367353	-2.77667	-1.300191	PCDHA2///PCDHA3	protocadherin alpha 2///protocadherin alpha 3
1740_g_at	0.1538	0.01254821	-3.363301	-2.78217	-2.115121	FOLH1B///FOLH1	folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1
35291_at	0.1539	0.01257071	3.361967	-2.78398	1.749685	BAG2	BCL2 associated athanogene 2
41602_at	0.1541	0.01261355	-3.359434	-2.78742	-1.195035	HPCA	hippocalcin
33760_at	0.1541	0.0126325	3.358316	-2.78894	1.725786	PEX14	peroxisomal biogenesis factor 14
41617_at	0.1541	0.01265714	-3.356866	-2.79091	-1.460023	HBE1	hemoglobin subunit epsilon 1
41186_at	0.1541	0.01265884	-3.356765	-2.79105	-1.934104	SUMO2	small ubiquitin-like modifier 2
34024_at	0.1541	0.01266645	-3.356318	-2.79166	-1.897693	CLCN5	chloride voltage-gated channel 5
36316_r_at	0.1541	0.01266947	-3.356141	-2.7919	-1.331271	EXOC6B	exocyst complex component 6B
37480_at	0.1541	0.01267555	-3.355784	-2.79238	-1.286409	THPO	thrombopoietin
1898_at	0.1541	0.0126871	-3.355106	-2.7933	-1.268837	TRIM29	tripartite motif containing 29
36312_at	0.1541	0.01270048	3.354321	-2.79437	1.778387	SERPINB8	serpin family B member 8
32881_at	0.1544	0.01273061	-3.352558	-2.79677	-1.282334	BICDL1	BICD family like cargo adaptor 1
32650_at	0.1544	0.0127478	-3.351555	-2.79813	-1.452858	TAGLN3	transgelin 3
31441_at	0.1552	0.01282913	-3.346825	-2.80456	-1.057773	ECRP	ribonuclease A family member 2 pseudogene
827_s_at	0.1552	0.01283851	-3.346281	-2.8053	-1.314651	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A
36198_at	0.1552	0.01285017	3.345606	-2.80622	1.075582	TOMM20	translocase of outer mitochondrial membrane 20
40291_r_at	0.1563	0.01295418	3.339615	-2.81437	1.650135	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
35806_at	0.1563	0.01296248	3.339138	-2.81502	2.023291	GORASP2	golgi reassembly stacking protein 2
40255_at	0.1563	0.01299839	-3.337083	-2.81781	-1.24619	DDX28	DEAD-box helicase 28
32550_r_at	0.1563	0.01302348	-3.335651	-2.81976	-1.71227	CEBPA	CCAAT/enhancer binding protein alpha
35420_r_at	0.1563	0.01305271	-3.333986	-2.82203	-2.016583	ZSWIM8	zinc finger SWIM-type containing 8
39414_at	0.1563	0.01305667	-3.333761	-2.82233	-1.687544		
37618_at	0.1563	0.01306283	-3.333411	-2.82281	-1.284691	HOXB7	homeobox B7
34063_at	0.1563	0.01306563	-3.333251	-2.82303	-1.314032	RECQL5	RecQ like helicase 5
35607_at	0.1563	0.013068	-3.333117	-2.82321	-1.649554	IGHM///IGHG1///IGHD	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta
40281_at	0.1563	0.01307204	3.332888	-2.82352	1.136384	SEPT2	septin 2
33520_at	0.1563	0.01313887	-3.329102	-2.82868	-1.150431	F7	coagulation factor VII
39614_at	0.1563	0.01316739	-3.327493	-2.83087	-2.029217	MTCL1	microtubule crosslinking factor 1
37384_at	0.1563	0.01316885	-3.32741	-2.83098	-1.544396	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F
33486_at	0.1563	0.01317429	-3.327104	-2.8314	-2.007784		
33573_at	0.1563	0.01318972	-3.326236	-2.83258	-2.277574	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1
37634_at	0.1563	0.01322203	-3.32442	-2.83506	-1.725764	PAEP	progestagen associated endometrial protein
31597_r_at	0.1563	0.01322891	-3.324034	-2.83558	-2.059408	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1
36779_at	0.1563	0.01324484	-3.323142	-2.8368	-1.415566	FABP6	fatty acid binding protein 6
32871_at	0.1563	0.01325727	-3.322446	-2.83775	-1.767565		
34523_at	0.1563	0.01326232	-3.322164	-2.83813	-2.206871	APOA4	apolipoprotein A4
40877_s_at	0.1563	0.01326743	-3.321878	-2.83852	-0.981044	HERC2P9///HERC2P2	hect domain and RLD 2 pseudogene 9///hect domain and RLD 2 pseudogene 2
39652_at	0.1563	0.01327505	-3.321452	-2.8391	-2.379165	XCL1	X-C motif chemokine ligand 1
34086_at	0.1563	0.01329464	-3.320359	-2.84059	-1.232045	S1PR2	sphingosine-1-phosphate receptor 2
38508_s_at	0.1563	0.01329886	-3.320123	-2.84091	-1.294826	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
687_at	0.1563	0.01330348	-3.319866	-2.84127	-1.239773		
36119_at	0.1563	0.01330939	-3.319536	-2.84171	-1.172236	CAV1	caveolin 1
32486_at	0.1563	0.01331761	-3.319079	-2.84234	-1.774175	CKM	creatine kinase, M-type
40945_at	0.1563	0.01334707	-3.317441	-2.84457	-1.069682	KLF11	Kruppel like factor 11
33121_g_at	0.1563	0.01335516	3.316991	-2.84518	1.344444	RGS10	regulator of G-protein signaling 10
38774_at	0.1563	0.01335958	3.316746	-2.84552	1.216887	STX7	syntaxin 7
38196_at	0.1563	0.01336965	3.316188	-2.84628	1.347622	PPIP5K1	diphosphoinositol pentakisphosphate kinase 1
39797_at	0.1563	0.01339192	3.314954	-2.84796	1.224533	UBR2	ubiquitin protein ligase E3 component n-recognin 2
767_at	0.1563	0.01339378	3.314851	-2.8481	1.570255	MYH11	myosin heavy chain 11
38660_at	0.1563	0.01339886	-3.31457	-2.84849	-1.464071	COX6A2	cytochrome c oxidase subunit 6A2
733_at	0.1563	0.01340266	-3.31436	-2.84877	-2.727564	MUC2	mucin 2, oligomeric mucus/gel-forming
37430_at	0.1563	0.0134192	-3.313446	-2.85002	-1.509604	ALOX15B	arachidonate 15-lipoxygenase, type B
32352_at	0.1563	0.01342466	-3.313145	-2.85043	-1.136805	PNMT	phenylethanolamine N-methyltransferase
40020_at	0.1563	0.01343725	-3.31245	-2.85138	-1.099631	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3
40145_at	0.1563	0.01344022	-3.312287	-2.8516	-2.537323	TOP2A	topoisomerase (DNA) II alpha
36856_at	0.1563	0.01345491	-3.311477	-2.85271	-1.379784	PLEKHO2	pleckstrin homology domain containing O2
40372_at	0.1563	0.01345912	-3.311246	-2.85302	-2.21008	PNLIPRP1	pancreatic lipase related protein 1
833_at	0.1563	0.01346368	-3.310995	-2.85336	-2.14515	ITGAD	integrin subunit alpha D
1402_at	0.1564	0.01350748	-3.308589	-2.85665	-1.17294	LYN	LYN proto-oncogene, Src family tyrosine kinase
39968_at	0.1564	0.01352411	-3.307678	-2.85789	-1.227956	LTC4S	leukotriene C4 synthase
32457_f_at	0.1564	0.01354323	-3.306632	-2.85932	-1.650433	PRB4	proline rich protein BstNI subfamily 4
31593_at	0.1564	0.01356414	-3.305489	-2.86088	-1.065354	LOC101929240///SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200
37317_at	0.1564	0.01356521	-3.305431	-2.86096	-1.131384	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
31949_at	0.1564	0.01357765	-3.304753	-2.86188	-2.04419	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1
39268_at	0.1564	0.01357834	-3.304715	-2.86193	-1.442816	KCNF1	potassium voltage-gated channel modifier subfamily F member 1
37903_at	0.1564	0.01357858	-3.304702	-2.86195	-1.135206	GNL1	G protein nucleolar 1 (putative)
41153_f_at	0.1564	0.01359709	3.303693	-2.86333	0.983697	CTNNA1	catenin alpha 1
36638_at	0.1564	0.01361434	3.302755	-2.86461	2.290123	CTGF	connective tissue growth factor
40374_at	0.1564	0.01362016	-3.302439	-2.86504	-2.196997	ANKRD1	ankyrin repeat domain 1
35143_at	0.1564	0.01362604	3.302119	-2.86548	1.567085	FAM49A	family with sequence similarity 49 member A
38177_at	0.1564	0.01365025	-3.300805	-2.86727	-1.314487	RAMP2	receptor activity modifying protein 2
41324_g_at	0.1564	0.01365614	-3.300486	-2.86771	-1.123227	LOC100507424///ITFG2	uncharacterized LOC100507424///integrin alpha FG-GAP repeat containing 2
1499_at	0.1564	0.01366239	3.300148	-2.86817	1.00128	FNTA	farnesyltransferase, CAAX box, alpha
37470_at	0.1564	0.01366325	-3.300101	-2.86823	-1.078727	LAIR1	leukocyte associated immunoglobulin like receptor 1
721_g_at	0.1564	0.0136774	-3.299335	-2.86928	-1.188392	HSF4	heat shock transcription factor 4
35064_at	0.1564	0.01369037	-3.298634	-2.87024	-2.056558	TRIM31	tripartite motif containing 31
31834_r_at	0.1564	0.01370668	-3.297753	-2.87144	-2.191115	ACSL6	acyl-CoA synthetase long-chain family member 6
31748_at	0.1564	0.01371841	-3.29712	-2.87231	-1.496612	POM121L2	POM121 transmembrane nucleoporin like 2
40331_at	0.1568	0.01376162	-3.294794	-2.87548	-1.057568	MARCO	macrophage receptor with collagenous structure
634_at	0.1568	0.01378033	-3.29379	-2.87686	-1.166168	PRSS8	protease, serine 8
40181_f_at	0.1568	0.01379832	-3.292825	-2.87818	-1.261339	IRS2	insulin receptor substrate 2
37684_at	0.1568	0.01379983	-3.292744	-2.87829	-1.358573	SLCO2B1	solute carrier organic anion transporter family member 2B1
33404_at	0.1569	0.0138245	3.291424	-2.88009	1.399696	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
40926_at	0.1569	0.01386906	-3.289045	-2.88334	-1.215627	SLC6A10PB///SLC6A10P///SLC6A8	solute carrier family 6 member 8 pseudogene///solute carrier family 6 member 10, pseudogene///solute carrier family 6 member 8
1253_at	0.1569	0.01387004	3.288993	-2.88341	1.277787	GSK3B	glycogen synthase kinase 3 beta
31539_r_at	0.1569	0.01387822	-3.288557	-2.88401	-3.040209		
40319_at	0.1569	0.01387966	3.28848	-2.88412	1.476924	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1
34516_at	0.1569	0.01388426	-3.288235	-2.88445	-1.783126	SLC12A1	solute carrier family 12 member 1
35370_at	0.157	0.01391351	-3.28668	-2.88658	-1.96002	SUPT7L	SPT7-like STAGA complex gamma subunit
39857_at	0.157	0.01393413	3.285586	-2.88807	1.68751	STX11	syntaxin 11
37284_at	0.157	0.01393475	-3.285553	-2.88812	-1.030648	SEMA4D	semaphorin 4D
1408_at	0.157	0.01394514	3.285003	-2.88887	1.215384	FGF4	fibroblast growth factor 4
34037_at	0.1571	0.01396088	-3.284169	-2.89001	-2.187432	IL9	interleukin 9
31828_r_at	0.1572	0.01399825	3.282195	-2.89271	1.448082	TGOLN2	trans-golgi network protein 2
32427_at	0.1572	0.01400796	-3.281683	-2.89341	-2.137487	CRYGD	crystallin gamma D
36845_at	0.1572	0.0140081	3.281675	-2.89342	1.252169	MORC3	MORC family CW-type zinc finger 3
39047_at	0.1572	0.01402686	3.280687	-2.89477	1.030146	SART3	squamous cell carcinoma antigen recognized by T-cells 3
38865_at	0.1574	0.01407002	-3.278419	-2.89788	-1.26368	GRAP2	GRB2-related adaptor protein 2
38415_at	0.1574	0.01408494	3.277636	-2.89895	1.371063	PTP4A2	protein tyrosine phosphatase type IVA, member 2
AFFX-TrpnX-3_at	0.1574	0.01409204	-3.277264	-2.89946	-1.094639		
1278_at	0.1574	0.01410022	3.276836	-2.90004	2.248489	AXL	AXL receptor tyrosine kinase
31778_at	0.1574	0.01410439	-3.276618	-2.90034	-1.912943	GJA8	gap junction protein alpha 8
39545_at	0.1574	0.01411303	3.276165	-2.90096	1.466479	CDKN1C	cyclin dependent kinase inhibitor 1C
40823_s_at	0.1575	0.01413913	3.274802	-2.90283	1.721517	NFATC3	nuclear factor of activated T-cells 3
38035_at	0.1577	0.01417922	3.272712	-2.90569	1.250828	MTMR6	myotubularin related protein 6
34979_at	0.1577	0.01418724	3.272295	-2.90626	1.563878	KDM4C	lysine demethylase 4C
40129_at	0.1577	0.01419749	3.271762	-2.90699	1.237015	PRKDC	protein kinase, DNA-activated, catalytic polypeptide
31974_at	0.1579	0.01422528	-3.27032	-2.90897	-1.270303	CLDN14	claudin 14
33671_f_at	0.158	0.01424371	-3.269365	-2.91027	-1.790431	GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE2C///GAGE1	G antigen 12D///G antigen 8///G antigen 12F///G antigen 2A///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 2D///G antigen 12J///G antigen 12G///G antigen 13///G antigen 2E///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 2C///G antigen 1
31901_at	0.158	0.01426142	-3.268448	-2.91153	-1.243513	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
31455_r_at	0.158	0.01427004	-3.268003	-2.91214	-2.702222		
40287_s_at	0.158	0.01428363	-3.2673	-2.9131	-1.362368	KLHL35	kelch like family member 35
302_at	0.1582	0.01431875	-3.26549	-2.91558	-1.735038		
35555_r_at	0.1582	0.01434627	-3.264074	-2.91752	-1.477653	ZIC2	Zic family member 2
33767_at	0.1582	0.01434692	-3.264041	-2.91757	-2.334026	NEFH	neurofilament heavy polypeptide
41269_r_at	0.1582	0.01435475	-3.263639	-2.91812	-1.097638	API5	apoptosis inhibitor 5
38366_g_at	0.1585	0.01439207	-3.261725	-2.92074	-2.263933	PEX1	peroxisomal biogenesis factor 1
1941_at	0.1588	0.01442951	-3.25981	-2.92337	-1.468727	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
37960_at	0.1594	0.01449649	3.256398	-2.92804	2.139974	CHST2	carbohydrate sulfotransferase 2
31482_at	0.1595	0.01454439	-3.253969	-2.93138	-2.257691	CELP	carboxyl ester lipase pseudogene
203_at	0.1595	0.01454475	-3.253951	-2.9314	-1.656136	GATA2	GATA binding protein 2
33085_at	0.1595	0.01457896	-3.252221	-2.93377	-1.499227	PDCD1	programmed cell death 1
40994_at	0.1595	0.01458293	3.25202	-2.93405	1.529338	GRK5	G protein-coupled receptor kinase 5
309_f_at	0.1595	0.01459272	-3.251526	-2.93473	-1.793286	GH2	growth hormone 2
36367_at	0.1595	0.0145975	-3.251285	-2.93506	-1.922532	PCDH11Y///PCDH11X	protocadherin 11 Y-linked///protocadherin 11 X-linked
31766_s_at	0.1595	0.0145999	-3.251164	-2.93522	-2.204378	DOCK10	dedicator of cytokinesis 10
34360_s_at	0.1595	0.01460696	-3.250808	-2.93571	-2.018956	HDDC2	HD domain containing 2
36555_at	0.1595	0.01462347	-3.249977	-2.93685	-1.243881	SNCG	synuclein gamma
34632_r_at	0.1598	0.01466779	-3.247749	-2.93991	-2.765975	GP5	glycoprotein V platelet
32918_at	0.1598	0.01467767	-3.247254	-2.94059	-1.572306	ZSWIM8-AS1///NDST2	ZSWIM8 antisense RNA 1///N-deacetylase and N-sulfotransferase 2
36995_at	0.1599	0.01470772	-3.245749	-2.94265	-1.269672	AMBP	alpha-1-microglobulin/bikunin precursor
547_s_at	0.1599	0.01471913	-3.245178	-2.94344	-1.185697	NR4A2	nuclear receptor subfamily 4 group A member 2
